original,subject,negation,predicate,predicate2,directObject,preposition,prepositionObject
Amy ate a sandwich,Amy,,eat,,sandwich,,
she was hungry,Amy,,hungry,,,,
she hasn't eaten in 5 hours,Amy,not,eat,,,in,hour
she has been very busy all morning,Amy,,busy,,,,
he babysitter called out sick at the last minute,,,babysitter,,,,
the flu virus was going around,virus,,go,,,,
Jack read a book about gardening,Jack,,read,,book,about,gardening
he wanted to learn how to garden,Jack,,want,learn,how,to,garden
he wanted to grow his own vegetables,Jack,,want,grow,vegetable,,
store bought vegetables were getting too expensive,store,,buy,,,,
the drought was longer than expected,someone,,expect,,drought,,
weather patterns are unpredictable,pattern,,unpredictable,,,,
John went to the store,John,,go,,,to,store
he needed to buy something,John,,need,buy,something,,
he ran out of flour,John,,run,,,out_of,flour
he used all of the flour while baking pizza,John,,use,,all,while,pizza
the recipe called for the whole bag of flour,recipe,,call,,,for,bag
a pizza requires the whole bag of flour,pizza,,require,,bag,,
Meg bought a new computer,Meg,,buy,,computer,,
her old computer broke,computer,,break,,,,
it was very old,it,,old,,,,
meg hadn't any money to buy a new one in the past,meg,not,have,,money,,
she had been fired from her last job,someone,,fire,,she,from,job
the economy was doing poorly,economy,,do,,,,
Tom cooked dinner,Tom,,cook,,dinner,,
he was hungry,he,,hungry,,,,
it had been 6 hours since lunch,it,,hour,,,since,lunch
tom didn't have any snacks between lunch & dinner,tom,not,have,,snack,,
he was trying to lose weight,6,,try,lose,weight,,
Alex did the dishes,Alex,,do,,dish,,
they were dirty,they,,dirty,,,,
he used them to eat,Alex,,use,eat,,,
he needs food,Alex,,need,,food,,
without food he will die,Alex,,die,,,without,food
the body needs nutrition,body,,need,,nutrition,,
Amy ate a sandwich,Amy,,eat,,sandwich,,
she was hungry,Amy,,hungry,,,,
it was time for lunch,it,,time,,,for,lunch
it was noon,it,,noon,,,,
she looked at the clock,Amy,,look,,,at,clock
she was getting hungry,Amy,,hungry,,,,
Jack read a book about gardening,Jack,,read,,book,about,gardening
he wanted to grow a garden,Jack,,want,grow,garden,,
he wanted fresh produce,Jack,,want,,produce,,
he could save money,Jack,,save,,money,,
he would have his own source of food,Jack,,have,,source,,
he would grow the food,Jack,,grow,,food,,
John went to the store,John,,go,,,to,store
he needed groceries,John,,need,,grocery,,
he had to have food in his house,John,,have,have,food,,
if he got hungry he would need access to food,John,,hungry,,,,
he would be able to eat the food,John,,able,eat,food,,
Maya drove to work,maya,,drive,work,,,
she has a car to drive,maya,,have,,car,,
she earned the money to buy it,maya,,earn,,money,,
she worked a job,maya,,work,,job,,
she needed an income,maya,,need,,income,,
she had to have money to survive,maya,,have,survive,money,,
Alex did the dishes,Alex,,do,,dish,,
they were dirty,they,,dirty,,,,
they had been used,someone,,use,,they,,
he didn't like eating off the table,Alex,,not,,,_like,eat
it is too big,it,,big,,,,
Amy ate a sandwich,Amy,,eat,,sandwich,,
she was hungry,Amy,,hungry,,,,
she hadn't eaten for several hours,Amy,not,eat,,,for,hour
she wasn't allowed to snack,someone,not,allow,,Amy,to,snack
it would spoil her appetite,it,,spoil,,appetite,,
eating makes her not hungry,she,,eat,,,,
Jack read a book about gardening,Jack,,read,,book,about,gardening
he wanted to plant a garden,Jack,,want,plant,garden,,
he wanted to eliminate chemicals from his food,Jack,,want,eliminate,chemical,from,food
