subject	explanation	seed	level	grammaticality	age	language	comments	sent_with_corefs	baby_cavemanese	cavemanese	S	N	P	O	S'	N'	P'	O'	tense
0	he needed to buy something	John went to the store	0	good	26	English		John needed to buy something	John need	John need buy something	John		need				buy	something	future
0	he ran out of flour	John went to the store	1	good	26	English		John ran out of flour	John run	John run flour	John		run	flour					past
0	he used all of the flour while baking pizza	John went to the store	2	good	26	English		John used all of the flour while baking pizza	John use	John use pizza	John		use	pizza					past
0	the recipe called for the whole bag of flour	John went to the store	3	good	26	English		the recipe called for the whole bag of flour	recipe call	recipe call bag	recipe		call	bag					past
0	a pizza requires the whole bag of flour	John went to the store	4	unknown	26	English		a pizza requires the whole bag of flour	pizza require	pizza require bag	pizza		require	bag					future
0	he wanted to learn how to garden	Jack read a book about gardening	0	good	26	English		Jack wanted to learn how to garden	Jack want	Jack want learn garden	Jack		want				learn	garden	future
0	he wanted to grow his own vegetables	Jack read a book about gardening	1	good	26	English		Jack wanted to grow Jack's own vegetables	Jack want	Jack want grow vegetable	Jack		want				grow	vegetable	future
0	store bought vegetables were getting too expensive	Jack read a book about gardening	2	good	26	English		store bought vegetables were getting too expensive	store buy	store buy	store		buy						past
0	the drought was longer than expected	Jack read a book about gardening	3	good	26	English		the drought was longer than expected	drought expected	drought expected	drought		expected						past
0	weather patterns are unpredictable	Jack read a book about gardening	4	unknown	26	English		weather patterns are unpredictable	pattern unpredictable	pattern unpredictable	pattern		unpredictable						present
0	she was hungry	Amy ate a sandwich	0	good	26	English		Amy was hungry	Amy hungry	Amy hungry	Amy		hungry						past
0	she hasn't eaten in 5 hours	Amy ate a sandwich	1	good	26	English		Amy hasn't eaten in 5 hours	Amy not eat	Amy not eat hour	Amy	not	eat	hour					past
0	she has been very busy all morning	Amy ate a sandwich	2	good	26	English		Amy has been very busy all morning	Amy busy	Amy busy	Amy		busy						past
0	he babysitter called out sick at the last minute	Amy ate a sandwich	3	good	26	English		he babysitter called out sick at the last minute	babysitter	babysitter			babysitter						past
0	the flu virus was going around	Amy ate a sandwich	4	unknown	26	English		the flu virus was going around	virus go	virus go	virus		go						past
0	her old computer broke	Meg bought a new computer	0	good	26	English		Meg old computer broke	computer break	computer break	computer		break						past
0	it was very old	Meg bought a new computer	1	good	26	English		Meg old computer was very old	computer old	computer old	computer		old						past
0	meg hadn't any money to buy a new one in the past	Meg bought a new computer	2	good	26	English		meg hadn't any money to buy a new one in the past	meg not have	meg not have money	meg	not	have	money					past
0	she had been fired from her last job	Meg bought a new computer	3	good	26	English		Meg had been fired from Meg last job	Meg fired	Meg fired job	Meg		fired	job					past
0	the economy was doing poorly	Meg bought a new computer	4	unknown	26	English		the economy was doing poorly	economy do	economy do	economy		do						past
0	he was hungry	Tom cooked dinner	0	good	26	English		Tom was hungry	Tom hungry	Tom hungry	Tom		hungry						past
0	it had been 6 hours since lunch	Tom cooked dinner	1	good	26	English		it had been 6 hours since lunch	it hour	it hour lunch	it		hour	lunch					past
0	tom didn't have any snacks between lunch & dinner	Tom cooked dinner	2	good	26	English		tom didn't have any snacks between lunch & dinner	tom not have	tom not have snack	tom	not	have	snack					past
0	he was trying to lose weight	Tom cooked dinner	3	unknown	26	English		Tom was trying to lose weight	Tom try	Tom try lose weight	Tom		try				lose	weight	past
1	she has a car to drive.	Maya drove to work	0	good	36	English	Thank you! Have a great day!	Maya has a car to drive	maya have	maya have car	maya		have	car					present
1	she earned the money to buy it.	Maya drove to work	1	good	36	English	Thank you! Have a great day!	Maya earned the money to buy it	maya earn	maya earn money	maya		earn	money					past
1	she worked a job.	Maya drove to work	2	good	36	English	Thank you! Have a great day!	Maya worked a job	maya work	maya work job	maya		work	job					past
1	she needed an income.	Maya drove to work	3	good	36	English	Thank you! Have a great day!	Maya needed an income	maya need	maya need income	maya		need	income					future
1	she had to have money to survive.	Maya drove to work	4	unknown	36	English	Thank you! Have a great day!	Maya had to have money to survive	maya have	maya have survive	maya		have				survive		future
1	they were dirty.	Alex did the dishes	0	good	36	English	Thank you! Have a great day!	they were dirty	they dirty	they dirty	they		dirty						past
1	he used them to eat.	Alex did the dishes	1	good	36	English	Thank you! Have a great day!	Alex used them to eat	Alex use	Alex use they eat	Alex		use		they		eat		past
1	he needs food.	Alex did the dishes	2	good	36	English	Thank you! Have a great day!	Alex needs food	Alex need	Alex need food	Alex		need	food					future
1	without food he will die.	Alex did the dishes	3	good	36	English	Thank you! Have a great day!	without food Alex will die	Alex die	Alex die food	Alex		die	food					future
1	the body needs nutrition.	Alex did the dishes	4	unknown	36	English	Thank you! Have a great day!	the body needs nutrition	body need	body need nutrition	body		need	nutrition					future
1	she was hungry.	Amy ate a sandwich	0	good	36	English	Thank you! Have a great day!	Amy was hungry	Amy hungry	Amy hungry	Amy		hungry						past
1	it was time for lunch.	Amy ate a sandwich	1	good	36	English	Thank you! Have a great day!	a sandwich was time for lunch	sandwich time	sandwich time lunch	sandwich		time	lunch					past
1	it was noon.	Amy ate a sandwich	2	good	36	English	Thank you! Have a great day!	it was noon	it noon	it noon	it		noon						past
1	she looked at the clock.	Amy ate a sandwich	3	good	36	English	Thank you! Have a great day!	Amy looked at the clock	Amy look	Amy look clock	Amy		look	clock					past
1	she was getting hungry.	Amy ate a sandwich	4	unknown	36	English	Thank you! Have a great day!	Amy was getting hungry	Amy hungry	Amy hungry	Amy		hungry						past
1	he wanted to grow a garden.	Jack read a book about gardening	0	good	36	English	Thank you! Have a great day!	Jack wanted to grow a garden	Jack want	Jack want grow garden	Jack		want				grow	garden	future
1	he wanted fresh produce.	Jack read a book about gardening	1	good	36	English	Thank you! Have a great day!	Jack wanted fresh produce	Jack want	Jack want produce	Jack		want	produce					future
1	he could save money.	Jack read a book about gardening	2	good	36	English	Thank you! Have a great day!	Jack could save money	Jack save	Jack save money	Jack		save	money					future
1	he would have his own source of food.	Jack read a book about gardening	3	good	36	English	Thank you! Have a great day!	Jack would have Jack's own source of food	Jack have	Jack have source	Jack		have	source					future
1	he would grow the food.	Jack read a book about gardening	4	unknown	36	English	Thank you! Have a great day!	Jack would grow the food	Jack grow	Jack grow food	Jack		grow	food					future
1	he needed groceries.	John went to the store	0	good	36	English	Thank you! Have a great day!	John needed groceries	John need	John need grocery	John		need	grocery					future
1	he had to have food in his house.	John went to the store	1	good	36	English	Thank you! Have a great day!	John had to have food in John's house	John have	John have have food	John		have				have	food	future
1	if he got hungry he would need access to food.	John went to the store	2	good	36	English	Thank you! Have a great day!	if John got hungry John would need access to food	John get	John get	John		get						past
1	he would be able to eat the food.	John went to the store	3	unknown	36	English	Thank you! Have a great day!	hungry John would be able to eat the food	John able	John able eat food	John		able				eat	food	future
2	she was hungry	Amy ate a sandwich	0	good	52	english		Amy was hungry	Amy hungry	Amy hungry	Amy		hungry						past
2	she hadn't eaten for several hours	Amy ate a sandwich	1	good	52	english		Amy hadn't eaten for several hours	Amy not eat	Amy not eat hour	Amy	not	eat	hour					past
2	she wasn't allowed to snack	Amy ate a sandwich	2	good	52	english		Amy wasn't allowed to snack	Amy not allowed	Amy not allowed snack	Amy	not	allowed	snack					past
2	it would spoil her appetite	Amy ate a sandwich	3	good	52	english		Amy wasn't would spoil Amy appetite	Amy not spoil	Amy not spoil appetite	Amy	not	spoil	appetite					past
2	eating makes her not hungry	Amy ate a sandwich	4	unknown	52	english		eating makes Amy not hungry	Amy eat	Amy eat	Amy		eat						present
2	because he needed some things	John went to the store	0	good	52	english		because John needed some things	John need	John need thing	John		need	thing					future
2	he was going to cook supper	John went to the store	1	good	52	english		John was going to cook supper	John go	John go cook supper	John		go				cook	supper	past
2	there was nothing ready to eat	John went to the store	2	good	52	english		there was nothing ready to eat	be	be			be						past
2	all the leftovers were gone	John went to the store	3	good	52	english		all the leftovers were gone	leftovers gone	leftovers gone	leftovers		gone						past
2	they had been eaten	John went to the store	4	unknown	52	english		they had been eaten	they eaten	they eaten	they		eaten						past
2	her old computer was antiquated	Meg bought a new computer	0	good	52	english		Meg old computer was antiquated	computer antiquated	computer antiquated	computer		antiquated						past
2	it was 10 years old	Meg bought a new computer	1	good	52	english		Meg old computer was 10 years old	computer old	computer old	computer		old						past
2	it was made 10 years ago	Meg bought a new computer	2	good	52	english		Meg old computer was made 10 years ago	computer made	computer made	computer		made						past
2	computers were in use at that time	Meg bought a new computer	3	good	52	english		computers were in use at that time	computer be	computer be use	computer		be	use					past
2	they had been invented and were useful	Meg bought a new computer	4	unknown	52	english		they had been invented and were useful	they invented	they invented	they		invented						past
2	he wanted to plant a garden	Jack read a book about gardening	0	good	52	english		Jack wanted to plant a garden	Jack want	Jack want plant garden	Jack		want				plant	garden	future
2	he wanted to eliminate chemicals from his food	Jack read a book about gardening	1	good	52	english		Jack wanted to eliminate chemicals from Jack's food	Jack want	Jack want eliminate food	Jack		want				eliminate	food	future
2	chemicals can be bad for you	Jack read a book about gardening	2	good	52	english		chemicals can be bad for you	chemical bad	chemical bad you	chemical		bad	you					future
2	they haven't been adequately tested	Jack read a book about gardening	3	good	52	english		they haven't been adequately tested	they not tested	they not tested	they	not	tested						past
2	government is controlled by business	Jack read a book about gardening	4	unknown	52	english		government is controlled by business	business control	business control government	business		control	government					past
2	they were dirty	Alex did the dishes	0	good	52	english		they were dirty	they dirty	they dirty	they		dirty						past
2	they had been used	Alex did the dishes	1	good	52	english		they had been used	they used	they used	they		used						past
2	he didn't like eating off the table	Alex did the dishes	2	good	52	english		Alex didn't like eating off the table	Alex not	Alex not eat	Alex		not	eat					past
2	it is too big	Alex did the dishes	3	unknown	52	english		it is too big	it big	it big	it		big						present
3	he is interested in it	Jack read a book about gardening	0	good	38	English	I had a good time with this one hope I get a good debriefing.	Jack is interested in a book	Jack interested	Jack interested book	Jack		interested	book					present
3	his grandfather was interested in it	Jack read a book about gardening	1	good	38	English	I had a good time with this one hope I get a good debriefing.	Jack's grandfather was interested in a book	grandfather interested	grandfather interested book	grandfather		interested	book					past
3	he had to grow his own vegetables as a child	Jack read a book about gardening	2	good	38	English	I had a good time with this one hope I get a good debriefing.	Jack had to grow Jack's own vegetables as a child	Jack have	Jack have grow child	Jack		have				grow	child	future
3	his family had a small farm	Jack read a book about gardening	3	good	38	English	I had a good time with this one hope I get a good debriefing.	Jack's family had a small farm	family have	family have farm	family		have	farm					past
3	they come from a long line of farmers	Jack read a book about gardening	4	unknown	38	English	I had a good time with this one hope I get a good debriefing.	they come from a long line of farmers	they come	they come line	they		come	line					present
