subject	explanation	seed	level	grammaticality	age	language	comments	sent_with_corefs
0	he needed to buy something	John went to the store	0	good	26	English		John needed to buy something
0	he ran out of flour	John went to the store	1	good	26	English		John ran out of flour
0	he used all of the flour while baking pizza	John went to the store	2	good	26	English		John used all of the flour while baking pizza
0	the recipe called for the whole bag of flour	John went to the store	3	good	26	English		the recipe called for the whole bag of flour
0	a pizza requires the whole bag of flour	John went to the store	4	unknown	26	English		a pizza requires the whole bag of flour
0	he wanted to learn how to garden	Jack read a book about gardening	0	good	26	English		Jack wanted to learn how to garden
0	he wanted to grow his own vegetables	Jack read a book about gardening	1	good	26	English		Jack wanted to grow Jack's own vegetables
0	store bought vegetables were getting too expensive	Jack read a book about gardening	2	good	26	English		store bought vegetables were getting too expensive
0	the drought was longer than expected	Jack read a book about gardening	3	good	26	English		the drought was longer than expected
0	weather patterns are unpredictable	Jack read a book about gardening	4	unknown	26	English		weather patterns are unpredictable
0	she was hungry	Amy ate a sandwich	0	good	26	English		Amy was hungry
0	she hasn't eaten in 5 hours	Amy ate a sandwich	1	good	26	English		Amy hasn't eaten in 5 hours
0	she has been very busy all morning	Amy ate a sandwich	2	good	26	English		Amy has been very busy all morning
0	he babysitter called out sick at the last minute	Amy ate a sandwich	3	good	26	English		he babysitter called out sick at the last minute
0	the flu virus was going around	Amy ate a sandwich	4	unknown	26	English		the flu virus was going around
0	her old computer broke	Meg bought a new computer	0	good	26	English		Meg old computer broke
0	it was very old	Meg bought a new computer	1	good	26	English		Meg old computer was very old
0	meg hadn't any money to buy a new one in the past	Meg bought a new computer	2	good	26	English		meg hadn't any money to buy a new one in the past
0	she had been fired from her last job	Meg bought a new computer	3	good	26	English		Meg had been fired from Meg last job
0	the economy was doing poorly	Meg bought a new computer	4	unknown	26	English		the economy was doing poorly
0	he was hungry	Tom cooked dinner	0	good	26	English		Tom was hungry
0	it had been 6 hours since lunch	Tom cooked dinner	1	good	26	English		it had been 6 hours since lunch
0	tom didn't have any snacks between lunch & dinner	Tom cooked dinner	2	good	26	English		tom didn't have any snacks between lunch & dinner
0	he was trying to lose weight	Tom cooked dinner	3	unknown	26	English		Tom was trying to lose weight
1	she has a car to drive.	Maya drove to work	0	good	36	English	Thank you! Have a great day!	Maya has a car to drive
1	she earned the money to buy it.	Maya drove to work	1	good	36	English	Thank you! Have a great day!	Maya earned the money to buy it
1	she worked a job.	Maya drove to work	2	good	36	English	Thank you! Have a great day!	Maya worked a job
1	she needed an income.	Maya drove to work	3	good	36	English	Thank you! Have a great day!	Maya needed an income
1	she had to have money to survive.	Maya drove to work	4	unknown	36	English	Thank you! Have a great day!	Maya had to have money to survive
1	they were dirty.	Alex did the dishes	0	good	36	English	Thank you! Have a great day!	they were dirty
1	he used them to eat.	Alex did the dishes	1	good	36	English	Thank you! Have a great day!	Alex used them to eat
1	he needs food.	Alex did the dishes	2	good	36	English	Thank you! Have a great day!	Alex needs food
1	without food he will die.	Alex did the dishes	3	good	36	English	Thank you! Have a great day!	without food Alex will die
1	the body needs nutrition.	Alex did the dishes	4	unknown	36	English	Thank you! Have a great day!	the body needs nutrition
1	she was hungry.	Amy ate a sandwich	0	good	36	English	Thank you! Have a great day!	Amy was hungry
1	it was time for lunch.	Amy ate a sandwich	1	good	36	English	Thank you! Have a great day!	a sandwich was time for lunch
1	it was noon.	Amy ate a sandwich	2	good	36	English	Thank you! Have a great day!	it was noon
1	she looked at the clock.	Amy ate a sandwich	3	good	36	English	Thank you! Have a great day!	Amy looked at the clock
1	she was getting hungry.	Amy ate a sandwich	4	unknown	36	English	Thank you! Have a great day!	Amy was getting hungry
1	he wanted to grow a garden.	Jack read a book about gardening	0	good	36	English	Thank you! Have a great day!	Jack wanted to grow a garden
1	he wanted fresh produce.	Jack read a book about gardening	1	good	36	English	Thank you! Have a great day!	Jack wanted fresh produce
1	he could save money.	Jack read a book about gardening	2	good	36	English	Thank you! Have a great day!	Jack could save money
1	he would have his own source of food.	Jack read a book about gardening	3	good	36	English	Thank you! Have a great day!	Jack would have Jack's own source of food
1	he would grow the food.	Jack read a book about gardening	4	unknown	36	English	Thank you! Have a great day!	Jack would grow the food
1	he needed groceries.	John went to the store	0	good	36	English	Thank you! Have a great day!	John needed groceries
1	he had to have food in his house.	John went to the store	1	good	36	English	Thank you! Have a great day!	John had to have food in John's house
1	if he got hungry he would need access to food.	John went to the store	2	good	36	English	Thank you! Have a great day!	if John got hungry John would need access to food
1	he would be able to eat the food.	John went to the store	3	unknown	36	English	Thank you! Have a great day!	hungry John would be able to eat the food
2	she was hungry	Amy ate a sandwich	0	good	52	english		Amy was hungry
2	she hadn't eaten for several hours	Amy ate a sandwich	1	good	52	english		Amy hadn't eaten for several hours
2	she wasn't allowed to snack	Amy ate a sandwich	2	good	52	english		Amy wasn't allowed to snack
2	it would spoil her appetite	Amy ate a sandwich	3	good	52	english		Amy wasn't would spoil Amy appetite
2	eating makes her not hungry	Amy ate a sandwich	4	unknown	52	english		eating makes Amy not hungry
2	because he needed some things	John went to the store	0	good	52	english		because John needed some things
2	he was going to cook supper	John went to the store	1	good	52	english		John was going to cook supper
2	there was nothing ready to eat	John went to the store	2	good	52	english		there was nothing ready to eat
2	all the leftovers were gone	John went to the store	3	good	52	english		all the leftovers were gone
2	they had been eaten	John went to the store	4	unknown	52	english		they had been eaten
2	her old computer was antiquated	Meg bought a new computer	0	good	52	english		Meg old computer was antiquated
2	it was 10 years old	Meg bought a new computer	1	good	52	english		Meg old computer was 10 years old
2	it was made 10 years ago	Meg bought a new computer	2	good	52	english		Meg old computer was made 10 years ago
2	computers were in use at that time	Meg bought a new computer	3	good	52	english		computers were in use at that time
2	they had been invented and were useful	Meg bought a new computer	4	unknown	52	english		they had been invented and were useful
2	he wanted to plant a garden	Jack read a book about gardening	0	good	52	english		Jack wanted to plant a garden
2	he wanted to eliminate chemicals from his food	Jack read a book about gardening	1	good	52	english		Jack wanted to eliminate chemicals from Jack's food
2	chemicals can be bad for you	Jack read a book about gardening	2	good	52	english		chemicals can be bad for you
2	they haven't been adequately tested	Jack read a book about gardening	3	good	52	english		they haven't been adequately tested
2	government is controlled by business	Jack read a book about gardening	4	unknown	52	english		government is controlled by business
2	they were dirty	Alex did the dishes	0	good	52	english		they were dirty
2	they had been used	Alex did the dishes	1	good	52	english		they had been used
2	he didn't like eating off the table	Alex did the dishes	2	good	52	english		Alex didn't like eating off the table
2	it is too big	Alex did the dishes	3	unknown	52	english		it is too big
3	he is interested in it	Jack read a book about gardening	0	good	38	English	I had a good time with this one hope I get a good debriefing.	Jack is interested in a book
3	his grandfather was interested in it	Jack read a book about gardening	1	good	38	English	I had a good time with this one hope I get a good debriefing.	Jack's grandfather was interested in a book
3	he had to grow his own vegetables as a child	Jack read a book about gardening	2	good	38	English	I had a good time with this one hope I get a good debriefing.	Jack had to grow Jack's own vegetables as a child
3	his family had a small farm	Jack read a book about gardening	3	good	38	English	I had a good time with this one hope I get a good debriefing.	Jack's family had a small farm
3	they come from a long line of farmers	Jack read a book about gardening	4	unknown	38	English	I had a good time with this one hope I get a good debriefing.	they come from a long line of farmers
3	the tire was flat	Sam repaired his bicycle	0	good	38	English	I had a good time with this one hope I get a good debriefing.	the tire was flat
3	he ran over a nail	Sam repaired his bicycle	1	good	38	English	I had a good time with this one hope I get a good debriefing.	Sam ran over a nail
3	he was riding it through a warehouse parking lot	Sam repaired his bicycle	2	good	38	English	I had a good time with this one hope I get a good debriefing.	Sam was riding the tire through a warehouse parking lot
3	he wanted to see a girl who worked there	Sam repaired his bicycle	3	good	38	English	I had a good time with this one hope I get a good debriefing.	Sam wanted to see a girl who worked there
3	he was attracted to her	Sam repaired his bicycle	4	unknown	38	English	I had a good time with this one hope I get a good debriefing.	Sam was attracted to her
3	she had to go in on a weekend	Maya drove to work	0	good	38	English	I had a good time with this one hope I get a good debriefing.	Maya had to go in on a weekend
3	her boss called her and asked her to	Maya drove to work	1	good	38	English	I had a good time with this one hope I get a good debriefing.	Maya boss called Maya and asked Maya to
3	they were very behind on a project	Maya drove to work	2	good	38	English	I had a good time with this one hope I get a good debriefing.	they were very behind on a project
3	a winter storm had shut down their offices for several days	Maya drove to work	3	good	38	English	I had a good time with this one hope I get a good debriefing.	a winter storm had shut down their offices for several days
3	their city wasn't prepared for snow	Maya drove to work	4	unknown	38	English	I had a good time with this one hope I get a good debriefing.	their city wasn't prepared for snow
3	she was hungry	Amy ate a sandwich	0	good	38	English	I had a good time with this one hope I get a good debriefing.	Amy was hungry
3	she hadn't eaten breakfast	Amy ate a sandwich	1	good	38	English	I had a good time with this one hope I get a good debriefing.	Amy hadn't eaten breakfast
3	she was in a hurry this morning	Amy ate a sandwich	2	good	38	English	I had a good time with this one hope I get a good debriefing.	Amy was in a hurry this morning
3	she was late for a meeting	Amy ate a sandwich	3	good	38	English	I had a good time with this one hope I get a good debriefing.	Amy was late for a meeting
3	her alarm clock didn't go off	Amy ate a sandwich	4	unknown	38	English	I had a good time with this one hope I get a good debriefing.	Amy alarm clock didn't go off
3	he needed to buy eggs	John went to the store	0	good	38	English	I had a good time with this one hope I get a good debriefing.	John needed to buy eggs
3	he wanted to make a quiche	John went to the store	1	good	38	English	I had a good time with this one hope I get a good debriefing.	John wanted to make a quiche
3	his girlfriend was coming over that morning	John went to the store	2	good	38	English	I had a good time with this one hope I get a good debriefing.	John's girlfriend was coming over that morning
3	she wanted to see him before she left on a trip	John went to the store	3	unknown	38	English	I had a good time with this one hope I get a good debriefing.	John 's girlfriend wanted to see John before John 's girlfriend left on a trip
4	it is damaged and he needs it to get places	Sam repaired his bicycle	0	bad	27	English		his bicycle is damaged and Sam needs his bicycle to get places
4	NO_RESPONSE	Sam repaired his bicycle	1	unknown	27	English		NO_RESPONSE
4	her old one fell and broke	Meg bought a new computer	0	good	27	English		Meg old one fell and broke
4	she didn't set it securely on the counter	Meg bought a new computer	1	good	27	English		Meg old one didn't set one securely on the counter
4	she was in a hurry	Meg bought a new computer	2	good	27	English		Meg was in a hurry
4	she was late getting to work	Meg bought a new computer	3	good	27	English		Meg was late getting to work
4	her alarm didn't go off	Meg bought a new computer	4	unknown	27	English		Meg alarm didn't go off
4	it was a workday	Maya drove to work	0	good	27	English		it was a workday
4	it is Monday	Maya drove to work	1	good	27	English		it is Monday
4	NO_RESPONSE	Maya drove to work	2	unknown	27	English		NO_RESPONSE
4	he wants to start gardening	Jack read a book about gardening	0	good	27	English		Jack wants to start gardening
4	he wants to eat healthier	Jack read a book about gardening	1	good	27	English		Jack wants to eat healthier
4	his doctor said he should improve his diet	Jack read a book about gardening	2	good	27	English		Jack's doctor said he should improve his diet
4	his exam and reports weren't so positive	Jack read a book about gardening	3	good	27	English		Jack 's doctor's exam and reports weren t so positive
4	he doesn't exercise or eat too healthily	Jack read a book about gardening	4	unknown	27	English		he doesn't exercise or eat too healthily
4	he was hungry	Tom cooked dinner	0	good	27	English		Tom was hungry
4	he didn't eat lunch	Tom cooked dinner	1	good	27	English		Tom didn't eat lunch
4	he was too busy to eat	Tom cooked dinner	2	good	27	English		Tom was too busy to eat
4	he had an important project due	Tom cooked dinner	3	good	27	English		Tom had an important project due
4	he was given the responsibility 2 weeks earlier	Tom cooked dinner	4	unknown	27	English		Tom was given the responsibility 2 weeks earlier
4	she needed to send a letter	Jane went to the post office	0	good	27	English		Jane needed to send a letter
4	her brother's birthday was soon	Jane went to the post office	1	good	27	English		Jane brother's birthday was soon
4	he was born on a date close to the present date	Jane went to the post office	2	good	27	English		Jane brother was born on a date close to the present date
4	that is when his mother gave birth to him	Jane went to the post office	3	unknown	27	English		that is when Jane brother's mother gave birth to Jane brother
5	the chain slipped off the other day when riding home.	Sam repaired his bicycle	0	good	43	English	This was creative and cool.	the chain slipped off the other day when riding home
5	he shifted gears to fast	Sam repaired his bicycle	1	good	43	English	This was creative and cool.	Sam shifted gears to fast
