subject	explanation	seed	level	grammaticality	age	language	comments
0	he needed to buy something	John went to the store	0	good	26	English	
0	he ran out of flour	John went to the store	1	good	26	English	
0	he used all of the flour while baking pizza	John went to the store	2	good	26	English	
0	the recipe called for the whole bag of flour	John went to the store	3	good	26	English	
0	a pizza requires the whole bag of flour	John went to the store	4	unknown	26	English	
0	he wanted to learn how to garden	Jack read a book about gardening	0	good	26	English	
0	he wanted to grow his own vegetables	Jack read a book about gardening	1	good	26	English	
0	store bought vegetables were getting too expensive	Jack read a book about gardening	2	good	26	English	
0	the drought was longer than expected	Jack read a book about gardening	3	good	26	English	
0	weather patterns are unpredictable	Jack read a book about gardening	4	unknown	26	English	
0	she was hungry	Amy ate a sandwich	0	good	26	English	
0	she hasn't eaten in 5 hours	Amy ate a sandwich	1	good	26	English	
0	she has been very busy all morning	Amy ate a sandwich	2	good	26	English	
0	he babysitter called out sick at the last minute	Amy ate a sandwich	3	good	26	English	
0	the flu virus was going around	Amy ate a sandwich	4	unknown	26	English	
0	her old computer broke	Meg bought a new computer	0	good	26	English	
0	it was very old	Meg bought a new computer	1	good	26	English	
0	meg hadn't any money to buy a new one in the past	Meg bought a new computer	2	good	26	English	
0	she had been fired from her last job	Meg bought a new computer	3	good	26	English	
0	the economy was doing poorly	Meg bought a new computer	4	unknown	26	English	
0	he was hungry	Tom cooked dinner	0	good	26	English	
0	it had been 6 hours since lunch	Tom cooked dinner	1	good	26	English	
0	tom didn't have any snacks between lunch & dinner	Tom cooked dinner	2	good	26	English	
0	he was trying to lose weight	Tom cooked dinner	3	unknown	26	English	
1	she has a car to drive.	Maya drove to work	0	good	36	English	Thank you! Have a great day!
1	she earned the money to buy it.	Maya drove to work	1	good	36	English	Thank you! Have a great day!
1	she worked a job.	Maya drove to work	2	good	36	English	Thank you! Have a great day!
1	she needed an income.	Maya drove to work	3	good	36	English	Thank you! Have a great day!
1	she had to have money to survive.	Maya drove to work	4	unknown	36	English	Thank you! Have a great day!
1	they were dirty.	Alex did the dishes	0	good	36	English	Thank you! Have a great day!
1	he used them to eat.	Alex did the dishes	1	good	36	English	Thank you! Have a great day!
1	he needs food.	Alex did the dishes	2	good	36	English	Thank you! Have a great day!
1	without food he will die.	Alex did the dishes	3	good	36	English	Thank you! Have a great day!
