workerid	trial_type	fever	catchT	time_on_slide	info_types	question	disease	ans_chosen	item	expl	protein	expl_type
0	catch	[]	1	2.227833333	[]	[]	[]	right_ans	0	NA	[]	na
0	catch	[]	1	1.819333333	[]	[]	[]	right_ans	1	NA	[]	na
0	catch	[]	1	2.392	[]	[]	[]	right_ans	2	NA	[]	na
0	critical	NA	0	11.91066667	disease and protein	You know that an alien has Disease D and expresses Protein X. Why do they express Protein X?	D	NA	0	they're related to Disease A	X	disease_a
0	critical	Y	0	3.4985	disease and fever	You know that an alien has Disease D and has a fever. Why do they have a fever?	D	NA	1	they have both x and y	NA	proteins_x_y
0	critical	Y	0	3.6065	protein and fever	You know that an alien expresses Protein X and has a fever. Why do they have a fever?	NA	NA	2	they have both x and y	X	proteins_x_y
0	catch	[]	1	1.398666667	[]	[]	[]	right_ans	3	NA	[]	na
0	critical	NA	0	7.001333333	disease and protein	You know that an alien has Disease B and expresses Protein Y. Why do they express Protein Y?	B	NA	3	they are related to disease c	Y	disease_c
0	critical	Y	0	5.884	disease and fever	You know that an alien has Disease C and has a fever. Why do they have a fever?	C	NA	4	they are related to protein x	NA	protein_x
0	critical	Y	0	3.516	disease and fever	You know that an alien has Disease A and has a fever. Why do they have a fever?	A	NA	5	they have both x and y protein	NA	proteins_x_y
0	catch	[]	1	0.852	[]	[]	[]	right_ans	4	NA	[]	na
0	critical	Y	0	4.758833333	disease and fever	You know that an alien has Disease B and has a fever. Why do they have a fever?	B	NA	6	of the relation with disease a	NA	disease_a
0	critical	Y	0	2.439833333	protein and fever	You know that an alien expresses Protein Y and has a fever. Why do they have a fever?	NA	NA	7	they also have protein x	Y	protein_x
0	catch	[]	1	1.576	[]	[]	[]	right_ans	5	NA	[]	na
1	catch	[]	1	1.325666667	[]	[]	[]	right_ans	0	NA	[]	na
1	catch	[]	1	1.488833333	[]	[]	[]	right_ans	1	NA	[]	na
1	catch	[]	1	1.219	[]	[]	[]	right_ans	2	NA	[]	na
1	critical	Y	0	5.624666667	disease and fever	You know that an alien has Disease C and has a fever. Why do they have a fever?	C	NA	0	they have both protein X and Y	NA	proteins_x_y
1	critical	Y	0	3.0615	disease and fever	You know that an alien has Disease B and has a fever. Why do they have a fever?	B	NA	1	they have protein X and Y	NA	proteins_x_y
