hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	duration	age	comments	language	responseForTrial5	responseForTrial4	responseForTrial3	responseForTrial2	responseForTrial1	responseForTrial0
3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	3JEJVC0BACCWBW28V2X1ZALJSNMNKW	WhyBot: The Automated 3-year-old	explain some everyday events.	language research stanford fun cognitive science university explanations	$0.40	Tue Apr 01 07:24:02 PDT 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Thu May 01 07:24:02 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	30JNVC0OR9K99W331JM6VG2MS0HQHH	0	Approved	Wed Apr 02 00:09:46 PDT 2014	Tue Apr 01 07:25:25 PDT 2014	Tue Apr 01 07:29:46 PDT 2014	Tue Apr 01 07:34:01 PDT 2014					255662	26		English	[{u'text': u'John went to the store'}, {u'ungrammatical': False, u'text': u'he needed to buy something'}, {u'ungrammatical': False, u'text': u'he ran out of flour'}, {u'ungrammatical': False, u'text': u'he used all of the flour while baking pizza'}, {u'ungrammatical': False, u'text': u'the recipe called for the whole bag of flour'}, {u'text': u'a pizza requires the whole bag of flour'}]	[{u'text': u'John went to the store'}, {u'ungrammatical': False, u'text': u'he needed to buy something'}, {u'ungrammatical': False, u'text': u'he ran out of flour'}, {u'ungrammatical': False, u'text': u'he used all of the flour while baking pizza'}, {u'ungrammatical': False, u'text': u'the recipe called for the whole bag of flour'}, {u'text': u'a pizza requires the whole bag of flour'}]	[{u'text': u'John went to the store'}, {u'ungrammatical': False, u'text': u'he needed to buy something'}, {u'ungrammatical': False, u'text': u'he ran out of flour'}, {u'ungrammatical': False, u'text': u'he used all of the flour while baking pizza'}, {u'ungrammatical': False, u'text': u'the recipe called for the whole bag of flour'}, {u'text': u'a pizza requires the whole bag of flour'}]	[{u'text': u'John went to the store'}, {u'ungrammatical': False, u'text': u'he needed to buy something'}, {u'ungrammatical': False, u'text': u'he ran out of flour'}, {u'ungrammatical': False, u'text': u'he used all of the flour while baking pizza'}, {u'ungrammatical': False, u'text': u'the recipe called for the whole bag of flour'}, {u'text': u'a pizza requires the whole bag of flour'}]	[{u'text': u'John went to the store'}, {u'ungrammatical': False, u'text': u'he needed to buy something'}, {u'ungrammatical': False, u'text': u'he ran out of flour'}, {u'ungrammatical': False, u'text': u'he used all of the flour while baking pizza'}, {u'ungrammatical': False, u'text': u'the recipe called for the whole bag of flour'}, {u'text': u'a pizza requires the whole bag of flour'}]	[{u'text': u'John went to the store'}, {u'ungrammatical': False, u'text': u'he needed to buy something'}, {u'ungrammatical': False, u'text': u'he ran out of flour'}, {u'ungrammatical': False, u'text': u'he used all of the flour while baking pizza'}, {u'ungrammatical': False, u'text': u'the recipe called for the whole bag of flour'}, {u'text': u'a pizza requires the whole bag of flour'}]
3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	3JEJVC0BACCWBW28V2X1ZALJSNMNKW	WhyBot: The Automated 3-year-old	explain some everyday events.	language research stanford fun cognitive science university explanations	$0.40	Tue Apr 01 07:24:02 PDT 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Thu May 01 07:24:02 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	30JNVC0OR9K99W331JM6VG2MS0HQHH	0	Approved	Wed Apr 02 00:09:46 PDT 2014	Tue Apr 01 07:25:25 PDT 2014	Tue Apr 01 07:29:46 PDT 2014	Tue Apr 01 07:34:01 PDT 2014					255662	26		English	[{u'text': u'Jack read a book about gardening'}, {u'ungrammatical': False, u'text': u'he wanted to learn how to garden'}, {u'ungrammatical': False, u'text': u'he wanted to grow his own vegetables'}, {u'ungrammatical': False, u'text': u'store bought vegetables were getting too expensive'}, {u'ungrammatical': False, u'text': u'the drought was longer than expected'}, {u'text': u'weather patterns are unpredictable'}]	[{u'text': u'Jack read a book about gardening'}, {u'ungrammatical': False, u'text': u'he wanted to learn how to garden'}, {u'ungrammatical': False, u'text': u'he wanted to grow his own vegetables'}, {u'ungrammatical': False, u'text': u'store bought vegetables were getting too expensive'}, {u'ungrammatical': False, u'text': u'the drought was longer than expected'}, {u'text': u'weather patterns are unpredictable'}]	[{u'text': u'Jack read a book about gardening'}, {u'ungrammatical': False, u'text': u'he wanted to learn how to garden'}, {u'ungrammatical': False, u'text': u'he wanted to grow his own vegetables'}, {u'ungrammatical': False, u'text': u'store bought vegetables were getting too expensive'}, {u'ungrammatical': False, u'text': u'the drought was longer than expected'}, {u'text': u'weather patterns are unpredictable'}]	[{u'text': u'Jack read a book about gardening'}, {u'ungrammatical': False, u'text': u'he wanted to learn how to garden'}, {u'ungrammatical': False, u'text': u'he wanted to grow his own vegetables'}, {u'ungrammatical': False, u'text': u'store bought vegetables were getting too expensive'}, {u'ungrammatical': False, u'text': u'the drought was longer than expected'}, {u'text': u'weather patterns are unpredictable'}]	[{u'text': u'Jack read a book about gardening'}, {u'ungrammatical': False, u'text': u'he wanted to learn how to garden'}, {u'ungrammatical': False, u'text': u'he wanted to grow his own vegetables'}, {u'ungrammatical': False, u'text': u'store bought vegetables were getting too expensive'}, {u'ungrammatical': False, u'text': u'the drought was longer than expected'}, {u'text': u'weather patterns are unpredictable'}]	[{u'text': u'Jack read a book about gardening'}, {u'ungrammatical': False, u'text': u'he wanted to learn how to garden'}, {u'ungrammatical': False, u'text': u'he wanted to grow his own vegetables'}, {u'ungrammatical': False, u'text': u'store bought vegetables were getting too expensive'}, {u'ungrammatical': False, u'text': u'the drought was longer than expected'}, {u'text': u'weather patterns are unpredictable'}]
3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	3JEJVC0BACCWBW28V2X1ZALJSNMNKW	WhyBot: The Automated 3-year-old	explain some everyday events.	language research stanford fun cognitive science university explanations	$0.40	Tue Apr 01 07:24:02 PDT 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Thu May 01 07:24:02 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	30JNVC0OR9K99W331JM6VG2MS0HQHH	0	Approved	Wed Apr 02 00:09:46 PDT 2014	Tue Apr 01 07:25:25 PDT 2014	Tue Apr 01 07:29:46 PDT 2014	Tue Apr 01 07:34:01 PDT 2014					255662	26		English	[{u'text': u'Amy ate a sandwich'}, {u'ungrammatical': False, u'text': u'she was hungry'}, {u'ungrammatical': False, u'text': u"she hasn't eaten in 5 hours"}, {u'ungrammatical': False, u'text': u'she has been very busy all morning'}, {u'ungrammatical': False, u'text': u'he babysitter called out sick at the last minute'}, {u'text': u'the flu virus was going around'}]	[{u'text': u'Amy ate a sandwich'}, {u'ungrammatical': False, u'text': u'she was hungry'}, {u'ungrammatical': False, u'text': u"she hasn't eaten in 5 hours"}, {u'ungrammatical': False, u'text': u'she has been very busy all morning'}, {u'ungrammatical': False, u'text': u'he babysitter called out sick at the last minute'}, {u'text': u'the flu virus was going around'}]	[{u'text': u'Amy ate a sandwich'}, {u'ungrammatical': False, u'text': u'she was hungry'}, {u'ungrammatical': False, u'text': u"she hasn't eaten in 5 hours"}, {u'ungrammatical': False, u'text': u'she has been very busy all morning'}, {u'ungrammatical': False, u'text': u'he babysitter called out sick at the last minute'}, {u'text': u'the flu virus was going around'}]	[{u'text': u'Amy ate a sandwich'}, {u'ungrammatical': False, u'text': u'she was hungry'}, {u'ungrammatical': False, u'text': u"she hasn't eaten in 5 hours"}, {u'ungrammatical': False, u'text': u'she has been very busy all morning'}, {u'ungrammatical': False, u'text': u'he babysitter called out sick at the last minute'}, {u'text': u'the flu virus was going around'}]	[{u'text': u'Amy ate a sandwich'}, {u'ungrammatical': False, u'text': u'she was hungry'}, {u'ungrammatical': False, u'text': u"she hasn't eaten in 5 hours"}, {u'ungrammatical': False, u'text': u'she has been very busy all morning'}, {u'ungrammatical': False, u'text': u'he babysitter called out sick at the last minute'}, {u'text': u'the flu virus was going around'}]	[{u'text': u'Amy ate a sandwich'}, {u'ungrammatical': False, u'text': u'she was hungry'}, {u'ungrammatical': False, u'text': u"she hasn't eaten in 5 hours"}, {u'ungrammatical': False, u'text': u'she has been very busy all morning'}, {u'ungrammatical': False, u'text': u'he babysitter called out sick at the last minute'}, {u'text': u'the flu virus was going around'}]
3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	3JEJVC0BACCWBW28V2X1ZALJSNMNKW	WhyBot: The Automated 3-year-old	explain some everyday events.	language research stanford fun cognitive science university explanations	$0.40	Tue Apr 01 07:24:02 PDT 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Thu May 01 07:24:02 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	30JNVC0OR9K99W331JM6VG2MS0HQHH	0	Approved	Wed Apr 02 00:09:46 PDT 2014	Tue Apr 01 07:25:25 PDT 2014	Tue Apr 01 07:29:46 PDT 2014	Tue Apr 01 07:34:01 PDT 2014					255662	26		English	[{u'text': u'Meg bought a new computer'}, {u'ungrammatical': False, u'text': u'her old computer broke'}, {u'ungrammatical': False, u'text': u'it was very old'}, {u'ungrammatical': False, u'text': u"meg hadn't any money to buy a new one in the past"}, {u'ungrammatical': False, u'text': u'she had been fired from her last job'}, {u'text': u'the economy was doing poorly'}]	[{u'text': u'Meg bought a new computer'}, {u'ungrammatical': False, u'text': u'her old computer broke'}, {u'ungrammatical': False, u'text': u'it was very old'}, {u'ungrammatical': False, u'text': u"meg hadn't any money to buy a new one in the past"}, {u'ungrammatical': False, u'text': u'she had been fired from her last job'}, {u'text': u'the economy was doing poorly'}]	[{u'text': u'Meg bought a new computer'}, {u'ungrammatical': False, u'text': u'her old computer broke'}, {u'ungrammatical': False, u'text': u'it was very old'}, {u'ungrammatical': False, u'text': u"meg hadn't any money to buy a new one in the past"}, {u'ungrammatical': False, u'text': u'she had been fired from her last job'}, {u'text': u'the economy was doing poorly'}]	[{u'text': u'Meg bought a new computer'}, {u'ungrammatical': False, u'text': u'her old computer broke'}, {u'ungrammatical': False, u'text': u'it was very old'}, {u'ungrammatical': False, u'text': u"meg hadn't any money to buy a new one in the past"}, {u'ungrammatical': False, u'text': u'she had been fired from her last job'}, {u'text': u'the economy was doing poorly'}]	[{u'text': u'Meg bought a new computer'}, {u'ungrammatical': False, u'text': u'her old computer broke'}, {u'ungrammatical': False, u'text': u'it was very old'}, {u'ungrammatical': False, u'text': u"meg hadn't any money to buy a new one in the past"}, {u'ungrammatical': False, u'text': u'she had been fired from her last job'}, {u'text': u'the economy was doing poorly'}]	[{u'text': u'Meg bought a new computer'}, {u'ungrammatical': False, u'text': u'her old computer broke'}, {u'ungrammatical': False, u'text': u'it was very old'}, {u'ungrammatical': False, u'text': u"meg hadn't any money to buy a new one in the past"}, {u'ungrammatical': False, u'text': u'she had been fired from her last job'}, {u'text': u'the economy was doing poorly'}]
3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	3JEJVC0BACCWBW28V2X1ZALJSNMNKW	WhyBot: The Automated 3-year-old	explain some everyday events.	language research stanford fun cognitive science university explanations	$0.40	Tue Apr 01 07:24:02 PDT 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Thu May 01 07:24:02 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	30JNVC0OR9K99W331JM6VG2MS0HQHH	0	Approved	Wed Apr 02 00:09:46 PDT 2014	Tue Apr 01 07:25:25 PDT 2014	Tue Apr 01 07:29:46 PDT 2014	Tue Apr 01 07:34:01 PDT 2014					255662	26		English	[{u'text': u'Tom cooked dinner'}, {u'ungrammatical': False, u'text': u'he was hungry'}, {u'ungrammatical': False, u'text': u'it had been 6 hours since lunch'}, {u'ungrammatical': False, u'text': u"tom didn't have any snacks between lunch & dinner"}, {u'text': u'he was trying to lose weight'}]	[{u'text': u'Tom cooked dinner'}, {u'ungrammatical': False, u'text': u'he was hungry'}, {u'ungrammatical': False, u'text': u'it had been 6 hours since lunch'}, {u'ungrammatical': False, u'text': u"tom didn't have any snacks between lunch & dinner"}, {u'text': u'he was trying to lose weight'}]	[{u'text': u'Tom cooked dinner'}, {u'ungrammatical': False, u'text': u'he was hungry'}, {u'ungrammatical': False, u'text': u'it had been 6 hours since lunch'}, {u'ungrammatical': False, u'text': u"tom didn't have any snacks between lunch & dinner"}, {u'text': u'he was trying to lose weight'}]	[{u'text': u'Tom cooked dinner'}, {u'ungrammatical': False, u'text': u'he was hungry'}, {u'ungrammatical': False, u'text': u'it had been 6 hours since lunch'}, {u'ungrammatical': False, u'text': u"tom didn't have any snacks between lunch & dinner"}, {u'text': u'he was trying to lose weight'}]	[{u'text': u'Tom cooked dinner'}, {u'ungrammatical': False, u'text': u'he was hungry'}, {u'ungrammatical': False, u'text': u'it had been 6 hours since lunch'}, {u'ungrammatical': False, u'text': u"tom didn't have any snacks between lunch & dinner"}, {u'text': u'he was trying to lose weight'}]	[{u'text': u'Tom cooked dinner'}, {u'ungrammatical': False, u'text': u'he was hungry'}, {u'ungrammatical': False, u'text': u'it had been 6 hours since lunch'}, {u'ungrammatical': False, u'text': u"tom didn't have any snacks between lunch & dinner"}, {u'text': u'he was trying to lose weight'}]
3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	3JEJVC0BACCWBW28V2X1ZALJSNMNKW	WhyBot: The Automated 3-year-old	explain some everyday events.	language research stanford fun cognitive science university explanations	$0.40	Tue Apr 01 07:24:02 PDT 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Thu May 01 07:24:02 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	36AHBNMV1RC16IPN6XKAHHQQZH5YDJ	1	Approved	Wed Apr 02 00:11:36 PDT 2014	Tue Apr 01 07:25:39 PDT 2014	Tue Apr 01 07:31:36 PDT 2014	Tue Apr 01 07:34:01 PDT 2014					294364	36	Thank+you!+Have+a+great+day!	English	[{u'text': u'Maya drove to work'}, {u'ungrammatical': False, u'text': u'she has a car to drive.'}, {u'ungrammatical': False, u'text': u'she earned the money to buy it.'}, {u'ungrammatical': False, u'text': u'she worked a job.'}, {u'ungrammatical': False, u'text': u'she needed an income.'}, {u'text': u'she had to have money to survive.'}]	[{u'text': u'Maya drove to work'}, {u'ungrammatical': False, u'text': u'she has a car to drive.'}, {u'ungrammatical': False, u'text': u'she earned the money to buy it.'}, {u'ungrammatical': False, u'text': u'she worked a job.'}, {u'ungrammatical': False, u'text': u'she needed an income.'}, {u'text': u'she had to have money to survive.'}]	[{u'text': u'Maya drove to work'}, {u'ungrammatical': False, u'text': u'she has a car to drive.'}, {u'ungrammatical': False, u'text': u'she earned the money to buy it.'}, {u'ungrammatical': False, u'text': u'she worked a job.'}, {u'ungrammatical': False, u'text': u'she needed an income.'}, {u'text': u'she had to have money to survive.'}]	[{u'text': u'Maya drove to work'}, {u'ungrammatical': False, u'text': u'she has a car to drive.'}, {u'ungrammatical': False, u'text': u'she earned the money to buy it.'}, {u'ungrammatical': False, u'text': u'she worked a job.'}, {u'ungrammatical': False, u'text': u'she needed an income.'}, {u'text': u'she had to have money to survive.'}]	[{u'text': u'Maya drove to work'}, {u'ungrammatical': False, u'text': u'she has a car to drive.'}, {u'ungrammatical': False, u'text': u'she earned the money to buy it.'}, {u'ungrammatical': False, u'text': u'she worked a job.'}, {u'ungrammatical': False, u'text': u'she needed an income.'}, {u'text': u'she had to have money to survive.'}]	[{u'text': u'Maya drove to work'}, {u'ungrammatical': False, u'text': u'she has a car to drive.'}, {u'ungrammatical': False, u'text': u'she earned the money to buy it.'}, {u'ungrammatical': False, u'text': u'she worked a job.'}, {u'ungrammatical': False, u'text': u'she needed an income.'}, {u'text': u'she had to have money to survive.'}]
3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	3JEJVC0BACCWBW28V2X1ZALJSNMNKW	WhyBot: The Automated 3-year-old	explain some everyday events.	language research stanford fun cognitive science university explanations	$0.40	Tue Apr 01 07:24:02 PDT 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Thu May 01 07:24:02 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	36AHBNMV1RC16IPN6XKAHHQQZH5YDJ	1	Approved	Wed Apr 02 00:11:36 PDT 2014	Tue Apr 01 07:25:39 PDT 2014	Tue Apr 01 07:31:36 PDT 2014	Tue Apr 01 07:34:01 PDT 2014					294364	36	Thank+you!+Have+a+great+day!	English	[{u'text': u'Alex did the dishes'}, {u'ungrammatical': False, u'text': u'they were dirty.'}, {u'ungrammatical': False, u'text': u'he used them to eat.'}, {u'ungrammatical': False, u'text': u'he needs food.'}, {u'ungrammatical': False, u'text': u'without food he will die.'}, {u'text': u'the body needs nutrition.'}]	[{u'text': u'Alex did the dishes'}, {u'ungrammatical': False, u'text': u'they were dirty.'}, {u'ungrammatical': False, u'text': u'he used them to eat.'}, {u'ungrammatical': False, u'text': u'he needs food.'}, {u'ungrammatical': False, u'text': u'without food he will die.'}, {u'text': u'the body needs nutrition.'}]	[{u'text': u'Alex did the dishes'}, {u'ungrammatical': False, u'text': u'they were dirty.'}, {u'ungrammatical': False, u'text': u'he used them to eat.'}, {u'ungrammatical': False, u'text': u'he needs food.'}, {u'ungrammatical': False, u'text': u'without food he will die.'}, {u'text': u'the body needs nutrition.'}]	[{u'text': u'Alex did the dishes'}, {u'ungrammatical': False, u'text': u'they were dirty.'}, {u'ungrammatical': False, u'text': u'he used them to eat.'}, {u'ungrammatical': False, u'text': u'he needs food.'}, {u'ungrammatical': False, u'text': u'without food he will die.'}, {u'text': u'the body needs nutrition.'}]	[{u'text': u'Alex did the dishes'}, {u'ungrammatical': False, u'text': u'they were dirty.'}, {u'ungrammatical': False, u'text': u'he used them to eat.'}, {u'ungrammatical': False, u'text': u'he needs food.'}, {u'ungrammatical': False, u'text': u'without food he will die.'}, {u'text': u'the body needs nutrition.'}]	[{u'text': u'Alex did the dishes'}, {u'ungrammatical': False, u'text': u'they were dirty.'}, {u'ungrammatical': False, u'text': u'he used them to eat.'}, {u'ungrammatical': False, u'text': u'he needs food.'}, {u'ungrammatical': False, u'text': u'without food he will die.'}, {u'text': u'the body needs nutrition.'}]
3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	3JEJVC0BACCWBW28V2X1ZALJSNMNKW	WhyBot: The Automated 3-year-old	explain some everyday events.	language research stanford fun cognitive science university explanations	$0.40	Tue Apr 01 07:24:02 PDT 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Thu May 01 07:24:02 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	36AHBNMV1RC16IPN6XKAHHQQZH5YDJ	1	Approved	Wed Apr 02 00:11:36 PDT 2014	Tue Apr 01 07:25:39 PDT 2014	Tue Apr 01 07:31:36 PDT 2014	Tue Apr 01 07:34:01 PDT 2014					294364	36	Thank+you!+Have+a+great+day!	English	[{u'text': u'Amy ate a sandwich'}, {u'ungrammatical': False, u'text': u'she was hungry.'}, {u'ungrammatical': False, u'text': u'it was time for lunch.'}, {u'ungrammatical': False, u'text': u'it was noon.'}, {u'ungrammatical': False, u'text': u'she looked at the clock.'}, {u'text': u'she was getting hungry.'}]	[{u'text': u'Amy ate a sandwich'}, {u'ungrammatical': False, u'text': u'she was hungry.'}, {u'ungrammatical': False, u'text': u'it was time for lunch.'}, {u'ungrammatical': False, u'text': u'it was noon.'}, {u'ungrammatical': False, u'text': u'she looked at the clock.'}, {u'text': u'she was getting hungry.'}]	[{u'text': u'Amy ate a sandwich'}, {u'ungrammatical': False, u'text': u'she was hungry.'}, {u'ungrammatical': False, u'text': u'it was time for lunch.'}, {u'ungrammatical': False, u'text': u'it was noon.'}, {u'ungrammatical': False, u'text': u'she looked at the clock.'}, {u'text': u'she was getting hungry.'}]	[{u'text': u'Amy ate a sandwich'}, {u'ungrammatical': False, u'text': u'she was hungry.'}, {u'ungrammatical': False, u'text': u'it was time for lunch.'}, {u'ungrammatical': False, u'text': u'it was noon.'}, {u'ungrammatical': False, u'text': u'she looked at the clock.'}, {u'text': u'she was getting hungry.'}]	[{u'text': u'Amy ate a sandwich'}, {u'ungrammatical': False, u'text': u'she was hungry.'}, {u'ungrammatical': False, u'text': u'it was time for lunch.'}, {u'ungrammatical': False, u'text': u'it was noon.'}, {u'ungrammatical': False, u'text': u'she looked at the clock.'}, {u'text': u'she was getting hungry.'}]	[{u'text': u'Amy ate a sandwich'}, {u'ungrammatical': False, u'text': u'she was hungry.'}, {u'ungrammatical': False, u'text': u'it was time for lunch.'}, {u'ungrammatical': False, u'text': u'it was noon.'}, {u'ungrammatical': False, u'text': u'she looked at the clock.'}, {u'text': u'she was getting hungry.'}]
3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	3JEJVC0BACCWBW28V2X1ZALJSNMNKW	WhyBot: The Automated 3-year-old	explain some everyday events.	language research stanford fun cognitive science university explanations	$0.40	Tue Apr 01 07:24:02 PDT 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Thu May 01 07:24:02 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	36AHBNMV1RC16IPN6XKAHHQQZH5YDJ	1	Approved	Wed Apr 02 00:11:36 PDT 2014	Tue Apr 01 07:25:39 PDT 2014	Tue Apr 01 07:31:36 PDT 2014	Tue Apr 01 07:34:01 PDT 2014					294364	36	Thank+you!+Have+a+great+day!	English	[{u'text': u'Jack read a book about gardening'}, {u'ungrammatical': False, u'text': u'he wanted to grow a garden.'}, {u'ungrammatical': False, u'text': u'he wanted fresh produce.'}, {u'ungrammatical': False, u'text': u'he could save money.'}, {u'ungrammatical': False, u'text': u'he would have his own source of food.'}, {u'text': u'he would grow the food.'}]	[{u'text': u'Jack read a book about gardening'}, {u'ungrammatical': False, u'text': u'he wanted to grow a garden.'}, {u'ungrammatical': False, u'text': u'he wanted fresh produce.'}, {u'ungrammatical': False, u'text': u'he could save money.'}, {u'ungrammatical': False, u'text': u'he would have his own source of food.'}, {u'text': u'he would grow the food.'}]	[{u'text': u'Jack read a book about gardening'}, {u'ungrammatical': False, u'text': u'he wanted to grow a garden.'}, {u'ungrammatical': False, u'text': u'he wanted fresh produce.'}, {u'ungrammatical': False, u'text': u'he could save money.'}, {u'ungrammatical': False, u'text': u'he would have his own source of food.'}, {u'text': u'he would grow the food.'}]	[{u'text': u'Jack read a book about gardening'}, {u'ungrammatical': False, u'text': u'he wanted to grow a garden.'}, {u'ungrammatical': False, u'text': u'he wanted fresh produce.'}, {u'ungrammatical': False, u'text': u'he could save money.'}, {u'ungrammatical': False, u'text': u'he would have his own source of food.'}, {u'text': u'he would grow the food.'}]	[{u'text': u'Jack read a book about gardening'}, {u'ungrammatical': False, u'text': u'he wanted to grow a garden.'}, {u'ungrammatical': False, u'text': u'he wanted fresh produce.'}, {u'ungrammatical': False, u'text': u'he could save money.'}, {u'ungrammatical': False, u'text': u'he would have his own source of food.'}, {u'text': u'he would grow the food.'}]	[{u'text': u'Jack read a book about gardening'}, {u'ungrammatical': False, u'text': u'he wanted to grow a garden.'}, {u'ungrammatical': False, u'text': u'he wanted fresh produce.'}, {u'ungrammatical': False, u'text': u'he could save money.'}, {u'ungrammatical': False, u'text': u'he would have his own source of food.'}, {u'text': u'he would grow the food.'}]
3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	3JEJVC0BACCWBW28V2X1ZALJSNMNKW	WhyBot: The Automated 3-year-old	explain some everyday events.	language research stanford fun cognitive science university explanations	$0.40	Tue Apr 01 07:24:02 PDT 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	1800	60000	Thu May 01 07:24:02 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3VAOOVPI3ZSXHB8MAXO6H21GON4LL0	36AHBNMV1RC16IPN6XKAHHQQZH5YDJ	1	Approved	Wed Apr 02 00:11:36 PDT 2014	Tue Apr 01 07:25:39 PDT 2014	Tue Apr 01 07:31:36 PDT 2014	Tue Apr 01 07:34:01 PDT 2014					294364	36	Thank+you!+Have+a+great+day!	English	[{u'text': u'John went to the store'}, {u'ungrammatical': False, u'text': u'he needed groceries.'}, {u'ungrammatical': False, u'text': u'he had to have food in his house.'}, {u'ungrammatical': False, u'text': u'if he got hungry he would need access to food.'}, {u'text': u'he would be able to eat the food.'}]	[{u'text': u'John went to the store'}, {u'ungrammatical': False, u'text': u'he needed groceries.'}, {u'ungrammatical': False, u'text': u'he had to have food in his house.'}, {u'ungrammatical': False, u'text': u'if he got hungry he would need access to food.'}, {u'text': u'he would be able to eat the food.'}]	[{u'text': u'John went to the store'}, {u'ungrammatical': False, u'text': u'he needed groceries.'}, {u'ungrammatical': False, u'text': u'he had to have food in his house.'}, {u'ungrammatical': False, u'text': u'if he got hungry he would need access to food.'}, {u'text': u'he would be able to eat the food.'}]	[{u'text': u'John went to the store'}, {u'ungrammatical': False, u'text': u'he needed groceries.'}, {u'ungrammatical': False, u'text': u'he had to have food in his house.'}, {u'ungrammatical': False, u'text': u'if he got hungry he would need access to food.'}, {u'text': u'he would be able to eat the food.'}]	[{u'text': u'John went to the store'}, {u'ungrammatical': False, u'text': u'he needed groceries.'}, {u'ungrammatical': False, u'text': u'he had to have food in his house.'}, {u'ungrammatical': False, u'text': u'if he got hungry he would need access to food.'}, {u'text': u'he would be able to eat the food.'}]	[{u'text': u'John went to the store'}, {u'ungrammatical': False, u'text': u'he needed groceries.'}, {u'ungrammatical': False, u'text': u'he had to have food in his house.'}, {u'ungrammatical': False, u'text': u'if he got hungry he would need access to food.'}, {u'text': u'he would be able to eat the food.'}]
